user_id,timestamp,ip_address,geo_location,device_type,browser,login_method,login_success,session_duration,is_suspicious,hour,day_of_week
user_37,2023-12-01 05:48:08,197.210.184.102,USA,Windows,Safari,SSO,1,73.27,0,5,4
user_43,2023-12-01 05:50:35,87.61.228.156,Russia,Linux,Safari,Password,1,502.57,0,5,4
user_2,2023-12-01 06:10:47,160.16.106.202,Russia,Mac,Chrome,Password,1,384.12,0,6,4
user_17,2023-12-01 06:14:47,208.61.177.128,Germany,Windows,Chrome,Password,1,104.64,0,6,4
user_26,2023-12-01 06:23:18,130.91.1.114,Germany,Windows,Brave,Biometric,0,0.0,0,6,4
user_48,2023-12-01 06:27:13,179.16.57.8,Japan,Mac,Brave,Password,1,33.39,0,6,4
user_31,2023-12-01 06:27:41,216.131.14.243,Brazil,Mac,Firefox,2FA,1,66.54,0,6,4
user_43,2023-12-01 06:30:12,155.178.224.53,Japan,Android,Chrome,Password,1,10.5,0,6,4
user_10,2023-12-01 06:34:59,169.199.97.248,Japan,iPhone,Brave,Password,1,142.12,0,6,4
user_50,2023-12-01 06:50:58,219.152.4.104,Japan,Windows,Firefox,Biometric,1,382.18,0,6,4
user_42,2023-12-01 07:23:40,168.191.169.103,UAE,iPhone,Brave,Password,1,519.53,0,7,4
user_1,2023-12-01 07:30:00,90.237.206.122,Australia,Mac,Chrome,Password,1,284.54,1,7,4
user_26,2023-12-01 07:30:00,221.80.140.46,Russia,Mac,Chrome,Password,1,48.45,1,7,4
user_6,2023-12-01 07:51:35,162.202.52.35,UAE,Windows,Safari,SSO,1,252.76,0,7,4
user_45,2023-12-01 08:04:00,36.166.127.249,India,Mac,Chrome,Password,1,125.09,0,8,4
user_31,2023-12-01 08:10:10,43.246.151.68,Japan,Linux,Firefox,Password,1,131.7,0,8,4
user_33,2023-12-01 08:15:08,210.238.63.145,Russia,Windows,Chrome,Password,1,20.28,0,8,4
user_34,2023-12-01 08:17:44,53.132.252.195,Japan,Android,Edge,Password,1,46.6,0,8,4
user_27,2023-12-01 08:20:21,51.78.211.36,USA,Linux,Firefox,Password,1,108.13,0,8,4
user_48,2023-12-01 08:26:14,210.80.196.27,USA,iPhone,Chrome,Biometric,1,162.27,0,8,4
user_46,2023-12-01 08:28:11,166.252.56.31,Australia,Mac,Edge,Password,1,486.15,0,8,4
user_19,2023-12-01 08:39:24,59.59.64.231,India,iPhone,Safari,Password,1,33.52,0,8,4
user_12,2023-12-01 08:43:33,202.78.102.84,USA,Linux,Brave,Biometric,1,73.13,0,8,4
user_8,2023-12-01 08:54:01,60.47.86.106,India,Linux,Firefox,SSO,1,55.72,0,8,4
user_23,2023-12-01 09:05:50,196.54.165.182,Russia,iPhone,Edge,Password,1,116.04,0,9,4
user_13,2023-12-01 09:18:39,166.228.6.141,India,iPhone,Firefox,Password,1,66.0,0,9,4
user_19,2023-12-01 09:53:06,34.59.142.241,Germany,Linux,Chrome,Password,1,72.16,0,9,4
user_24,2023-12-01 09:56:02,148.164.208.10,Russia,UnknownDeviceX,UnknownBrowserY,Password,1,261.95,1,9,4
user_46,2023-12-01 10:05:44,213.135.221.151,UAE,Windows,Safari,Password,1,42.08,0,10,4
user_12,2023-12-01 10:17:29,144.187.86.118,Russia,Android,Safari,2FA,1,636.47,0,10,4
user_8,2023-12-01 10:31:10,162.207.127.96,USA,Mac,Firefox,Password,1,287.51,0,10,4
user_13,2023-12-01 10:40:12,16.50.122.190,Brazil,Mac,Chrome,Password,1,2.25,0,10,4
user_15,2023-12-01 10:40:44,175.149.22.58,Russia,Windows,Chrome,Password,1,76.31,0,10,4
user_42,2023-12-01 10:44:17,212.237.102.98,Brazil,Mac,Chrome,Password,1,132.78,0,10,4
user_43,2023-12-01 10:45:44,60.249.45.178,Brazil,Mac,Firefox,2FA,1,331.02,0,10,4
user_47,2023-12-01 10:54:56,96.31.167.240,India,Windows,Chrome,Biometric,1,150.1,0,10,4
user_46,2023-12-01 11:04:33,136.51.109.218,Antarctica,Android,Chrome,SSO,0,0.0,1,11,4
user_47,2023-12-01 11:14:03,210.115.251.143,Japan,Linux,Brave,Password,1,992.27,0,11,4
user_1,2023-12-01 11:16:22,209.0.171.61,UAE,Mac,Safari,Password,1,158.98,0,11,4
user_34,2023-12-01 11:23:59,84.117.83.227,Australia,Windows,Edge,2FA,1,604.82,0,11,4
user_7,2023-12-01 11:49:37,27.49.142.221,Russia,Linux,Edge,2FA,1,83.13,0,11,4
user_1,2023-12-01 12:00:05,150.165.165.103,UAE,iPhone,Edge,Password,1,132.47,0,12,4
user_19,2023-12-01 12:10:22,221.88.97.66,USA,Linux,Firefox,Password,1,1173.69,0,12,4
user_21,2023-12-01 12:10:46,207.49.126.74,UAE,Windows,Safari,2FA,1,473.55,0,12,4
user_22,2023-12-01 12:14:32,98.102.41.204,UAE,Linux,Chrome,Password,1,272.45,0,12,4
user_13,2023-12-01 12:16:39,212.66.226.65,Brazil,iPhone,Edge,Biometric,1,563.29,0,12,4
user_32,2023-12-01 12:17:39,57.215.138.180,Russia,Mac,Chrome,Biometric,1,719.94,0,12,4
user_22,2023-12-01 12:29:34,88.13.249.198,Australia,iPhone,Firefox,Biometric,0,0.0,0,12,4
user_23,2023-12-01 12:32:12,212.89.114.224,Germany,Mac,Brave,Password,1,37.1,0,12,4
user_7,2023-12-01 12:38:00,171.58.34.189,Brazil,iPhone,Safari,Password,1,9.91,0,12,4
user_46,2023-12-01 13:02:25,192.154.131.196,Russia,Android,Brave,Password,0,0.0,0,13,4
user_6,2023-12-01 13:05:55,132.120.36.213,Japan,Mac,Brave,Password,1,2283.4,0,13,4
user_25,2023-12-01 13:06:38,198.53.80.125,India,Linux,Safari,Password,1,1107.89,0,13,4
user_2,2023-12-01 13:07:18,214.102.90.240,USA,Mac,Brave,2FA,1,170.79,0,13,4
user_23,2023-12-01 13:11:58,202.151.133.215,Japan,UnknownDeviceX,UnknownBrowserY,2FA,1,463.92,1,13,4
user_25,2023-12-01 13:12:37,213.85.94.244,UAE,iPhone,Firefox,Password,0,0.0,0,13,4
user_42,2023-12-01 13:16:20,183.9.116.164,UAE,Android,Brave,Biometric,1,180.11,0,13,4
user_33,2023-12-01 13:29:40,149.88.52.150,Germany,Android,Brave,Password,1,988.46,0,13,4
user_19,2023-12-01 13:33:07,160.136.199.136,Russia,iPhone,Safari,Password,1,632.67,0,13,4
user_2,2023-12-01 13:39:12,192.153.94.138,India,Linux,Chrome,Password,1,249.62,0,13,4
user_2,2023-12-01 13:43:23,179.126.221.245,Japan,Mac,Safari,Password,0,0.0,0,13,4
user_8,2023-12-01 13:44:56,191.115.243.237,Germany,iPhone,Edge,Password,1,65.48,0,13,4
user_28,2023-12-01 13:49:38,191.201.161.87,Russia,Mac,Firefox,Password,1,56.81,0,13,4
user_48,2023-12-01 13:50:17,178.225.79.140,Brazil,Android,Edge,2FA,1,268.72,0,13,4
user_22,2023-12-01 13:53:28,45.142.49.23,Germany,Linux,Safari,2FA,1,166.41,0,13,4
user_24,2023-12-01 13:56:43,186.204.229.234,Japan,Linux,Brave,Password,1,291.17,0,13,4
user_39,2023-12-01 14:07:56,149.161.12.227,Brazil,Windows,Safari,2FA,1,284.47,0,14,4
user_45,2023-12-01 14:12:41,53.205.77.80,USA,Android,Safari,Password,1,81.07,0,14,4
user_9,2023-12-01 14:15:32,223.49.180.33,Brazil,Windows,Safari,Password,1,1109.61,0,14,4
user_13,2023-12-01 14:16:59,90.161.71.191,India,Linux,Firefox,SSO,1,529.24,0,14,4
user_32,2023-12-01 14:24:48,161.45.68.127,Australia,Linux,Safari,Password,1,177.58,0,14,4
user_22,2023-12-01 14:28:31,85.204.81.56,USA,Windows,Chrome,Password,1,86.18,0,14,4
user_13,2023-12-01 14:28:51,1.71.191.186,Russia,Linux,Safari,Password,1,773.97,0,14,4
user_10,2023-12-01 14:38:08,201.180.121.172,Brazil,Linux,Safari,Password,1,659.47,0,14,4
